server_ts,client_ts,client_addr,visitor_id,session_id,location,referer,user_agent,type,visitor_params,session_params,event_params,br_width,br_height,sc_width,sc_height,br_lang,tz_off
2014-03-06T23:02:02.922,2014-03-06T23:02:02.784,162.217.72.30,7318f2117d2352c,3f5a2a8119fe82e,http://www.dataiku.com/,http://strataconf.com/strata2014/public/schedule/detail/33474,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1440,802,1440,900,en-US,480
2014-03-06T23:03:49.291,2014-03-06T23:03:49.040,162.217.72.30,7318f2117d2352c,3f5a2a8119fe82e,http://www.dataiku.com/applications/ecommerce/,http://www.dataiku.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1440,802,1440,900,en-US,480
2014-03-06T23:03:52.307,2014-03-06T23:03:52.203,162.217.72.30,7318f2117d2352c,3f5a2a8119fe82e,http://www.dataiku.com/applications/smartcities/,http://www.dataiku.com/applications/ecommerce/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1440,802,1440,900,en-US,480
2014-03-06T23:03:53.724,2014-03-06T23:03:53.623,162.217.72.30,7318f2117d2352c,3f5a2a8119fe82e,http://www.dataiku.com/applications/freemium/,http://www.dataiku.com/applications/smartcities/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1440,802,1440,900,en-US,480
2014-03-06T23:03:55.672,2014-03-06T23:03:55.566,162.217.72.30,7318f2117d2352c,3f5a2a8119fe82e,http://www.dataiku.com/applications/smartcities/,http://www.dataiku.com/applications/freemium/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1440,802,1440,900,en-US,480
2014-03-06T23:16:12.732,2014-03-06T23:16:11.497,189.1.141.210,4f0bf6913915c00,d9d4b521720f7c7,http://dataiku.com/blog/2014/01/14/winning-kaggle.html,http://www.datatau.com/,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:26.0) Gecko/20100101 Firefox/26.0,page,null,null,,1366,599,1366,768,pt-BR,180
2014-03-06T23:40:31.093,2014-03-06T23:40:31.903,166.137.208.40,24c1e7f1ded395d,6b84e5b126ed581,http://www.dataiku.com/,http://t.co/2W6hCFpm,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10A551 Twitter for iPhone",page,null,null,,320,504,320,568,en-us,480
2014-03-06T23:40:59.077,2014-03-06T23:40:58.900,166.137.208.40,24c1e7f1ded395d,6b84e5b126ed581,http://www.dataiku.com/,http://t.co/2W6hCFpm,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10A551 Twitter for iPhone",page,null,null,,320,504,320,568,en-us,480
2014-03-06T23:41:23.410,2014-03-06T23:41:23.926,166.137.208.40,24c1e7f1ded395d,6b84e5b126ed581,http://www.dataiku.com/company/careers/,http://www.dataiku.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10A551 Twitter for iPhone",page,null,null,,320,504,320,568,en-us,480
2014-03-07T09:58:22.969,2014-03-07T09:58:22.688,193.203.192.10,616b8a415123290,320964412ac8fce,http://www.dataiku.com/,http://www.ebg.net/startup/top100liste.php,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1366,632,1366,768,fr,-60
2014-03-07T09:59:13.312,2014-03-07T09:59:13.155,193.203.192.10,616b8a415123290,320964412ac8fce,http://www.dataiku.com/products/trynow/,http://www.dataiku.com/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1366,632,1366,768,fr,-60
2014-03-07T09:59:16.895,2014-03-07T09:59:16.815,193.203.192.10,616b8a415123290,320964412ac8fce,http://www.dataiku.com/products/shaker/,http://www.dataiku.com/products/trynow/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1366,632,1366,768,fr,-60
2014-03-07T09:59:19.840,2014-03-07T09:59:19.704,193.203.192.10,616b8a415123290,320964412ac8fce,http://www.dataiku.com/products/mining/,http://www.dataiku.com/products/shaker/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1366,632,1366,768,fr,-60
2014-03-07T09:59:22.603,2014-03-07T09:59:22.465,193.203.192.10,616b8a415123290,320964412ac8fce,http://www.dataiku.com/products/sharing/,http://www.dataiku.com/products/mining/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1366,632,1366,768,fr,-60
2014-03-07T09:59:24.579,2014-03-07T09:59:24.413,193.203.192.10,616b8a415123290,320964412ac8fce,http://www.dataiku.com/products/manage/,http://www.dataiku.com/products/sharing/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1366,632,1366,768,fr,-60
2014-03-07T10:04:11.182,2014-03-07T10:04:11.057,193.203.192.10,616b8a415123290,0c14c0513c10453,http://www.dataiku.com/applications/,http://www.dataiku.com/products/manage/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1366,632,1366,768,fr,-60
