DJ	RG	RDF	RD	Tm	HR	Vv	NHL	Abateria
125	5,7	3	4	16	63	2	13,5	10,401
126	5,8	3	4,1	16	62	2	13,5	11,908
127	5,7	3	3,9	16	62	2	13,5	11,129
128	6,2	2,8	4,8	17	62	2	13,5	12,781
129	6,1	2,9	4,8	17	61	2	13,5	12,463
130	6	2,9	4,4	18	61	2	13,5	12,216
131	6,3	2,8	5	18	60	2	13,5	12,533
132	6,6	2,6	5,9	19	60	2	13,5	11,368
133	6,5	2,7	5,5	19	58	2	13,5	10,782
134	6,5	2,7	5,8	20	56	2	13,5	13,303
135	7	2,4	7,1	21	54	2	13,5	12,029
136	6,9	2,5	6,9	21	53	2	13,5	12,671
137	6,7	2,6	6,4	21	53	2	13,5	14,208
138	6,9	2,5	6,9	22	53	2	13,5	13,186
139	6,6	2,7	6	22	52	2	14	12,412
140	6,9	2,6	6,8	22	50	2	14	12,465
141	7,2	2,3	7,7	22	49	2	14	11,862
142	7,2	2,4	7,6	22	47	2	14	11,631
143	7,3	2,3	7,9	22	45	2	14	13,546
144	7,2	2,3	7,6	23	44	2	14	13,854
145	7,3	2,3	7,9	23	42	2	14	13,476
146	7,3	2,3	7,9	23	42	2	14	14,265
147	7,6	2,1	8,5	23	42	2	14	12,826
148	7,8	2	9,1	23	42	2	14	13,523
149	7,6	2,2	8,5	24	43	2	14	14,705
150	7,4	2,3	8,1	24	43	2	14	12,95
151	7,3	2,4	7,7	24	44	2	14	14,265
152	7,2	2,5	7,3	24	44	2	14	14,406
153	7,6	2,2	8,3	24	45	2	14	12,836
154	7,7	2,1	8,7	24	46	2	14,5	13,694
155	7,2	2,5	7,3	24	47	2	14,5	13,865
156	7,1	2,5	7,1	24	48	2	14,5	12,846
157	7,5	2,3	8,1	24	47	2	14,5	13,264
158	7,5	2,3	7,9	25	46	2	14,5	13,072
159	7,8	2,1	8,8	25	44	2	14,5	14,375
160	7,6	2,2	8,3	25	43	2	14,5	12,454
161	7,5	2,3	8	26	42	2	14,5	13,864
162	7,8	2,1	9	26	42	2	14,5	14,144
163	7,7	2,2	8,5	26	43	2	14,5	14,467
164	7,6	2,3	8,3	26	42	2	14,5	16,618
165	7,6	2,3	8,3	26	42	2	14,5	14,32
166	7,8	2,1	8,9	27	41	2	14,5	13,981
167	7,6	2,3	8,2	27	41	2	14,5	13,746
168	7,9	2	9,1	27	41	2	14,5	14,677
169	7,9	2	9,1	27	41	2	14,5	13,787
170	7,9	2	9,3	27	42	2	14,5	12,871
171	8	1,9	9,5	27	43	2	14,5	14,382
172	7,8	2,1	8,8	27	44	2	14,5	14,151
173	8	2	9,3	27	44	2	14,5	13,78
174	8	1,9	9,5	26	44	2	14,5	15,489
175	7,9	2	9,2	26	45	2	14,5	13,977
176	7,4	2,4	7,6	26	46	2	14,5	14,078
177	7,7	2,2	8,4	26	47	2	14,5	13,332
178	7,7	2,2	8,5	25	47	2	14,5	13,148
179	7,7	2,2	8,5	25	47	2	14,5	14,384
180	7,8	2	9	25	47	2	14,5	13,926
181	7,6	2,3	8,2	25	47	2	14,5	15,537
182	7,4	2,4	7,8	25	46	2	14,5	14,063
183	7,8	2,1	8,9	25	45	2	14,5	14,251
184	7,7	2,1	8,7	26	45	2	14,5	15,235
185	7,9	2	9,1	26	45	2	15	14,225
186	7,9	1,9	9,3	26	44	2	15	14,074
187	7,9	1,9	9,5	27	43	2	15	12,017
188	7,7	2,1	8,7	27	42	2	15	12,518
189	7,7	2,1	8,8	27	43	2	15	13,039
190	7,9	1,8	9,6	27	43	2	15	15,093
191	7,8	2	9	27	43	2	15	12,57
192	7,7	2	9	27	42	2	15	14,256
193	7,8	2	9,1	27	41	2	15	14,128
194	7,7	2	9	27	40	2	15	13,832
195	7,7	2	8,9	27	39	2	15	14,517
196	7,6	2,1	8,6	27	38	2	15	12,874
197	7,8	1,9	9,3	27	38	2	15	15,018
198	7,8	1,9	9,2	27	38	2	15	14,39
199	7,7	1,9	9,3	26	39	2	15	14,37
200	7,7	1,9	9,3	26	38	2	15	13,604
201	7,6	2	8,8	27	38	2	15	16,423
202	7,7	1,9	9,2	27	37	2	15	13,894
203	7,7	1,8	9,4	27	38	2	15	15,322
204	7,6	1,9	9,2	27	38	2	15	16,148
205	7,6	1,9	9,2	28	39	2	15	14,265
206	7,5	2	8,9	28	40	2	15	15,56
207	7,4	2,1	8,4	28	41	2	15	15,922
208	7,4	2	8,6	28	41	2	15	12,668
209	7,3	2,1	8,3	28	41	2	15	12,782
210	7,4	2	8,7	29	41	2	15	15,09
211	7,1	2,2	7,9	29	40	2	15	12,66
212	7,2	2,1	7,7	29	39	2	15	14,561
213	7,3	2	7,9	29	39	2	15	15,724
214	7,3	2	7,9	29	39	2	15	14,68
215	7,2	2	7,8	29	39	2	15	13,731
216	7,1	2,1	7,3	29	39	2	15	12,31
217	7,1	2	7,6	29	39	2	15	13,915
218	7,2	1,9	7,9	29	39	2	15	14,882
219	7,2	1,9	8,1	29	38	2	15	14,027
220	7,1	2	7,7	29	37	2	15	13,241
221	7	2	7,4	29	38	2	15	14,622
222	7	2	7,6	29	40	2	15	14,446
223	7	2	7,6	29	41	2	15	15,563
224	6,9	2	7,5	29	41	2	15	16,006
225	7	1,9	7,7	28	42	2	15	14,808
226	7	1,8	8	28	43	2	15	14,424
227	6,9	1,9	7,6	28	43	2	15	13,921
228	6,9	1,8	7,9	28	43	2	15	14,436
229	7	1,8	8,1	28	42	2	14,5	15,311
230	7	1,7	8,2	27	43	2	14,5	15,265
231	6,9	1,8	8,1	27	44	2	14,5	12,968
232	6,8	1,8	7,8	27	45	2	14,5	14,689
233	6,7	1,8	7,7	26	45	2	14,5	14,2
234	6,6	1,9	7,4	26	46	2	14,5	14,921
235	6,5	1,9	7,3	26	46	2	14,5	12,421
236	6,4	2	6,9	26	47	2	14,5	14,196
237	6,3	2,1	6,6	26	47	2	14,5	13,55
238	6,4	2	7,1	26	48	2	14,5	14,269
239	6,5	1,9	7,4	25	49	2	14,5	14,206
240	6,4	1,8	7,5	25	49	2	14,5	13,078
241	6,3	1,9	7,1	25	50	2	14,5	14,839
242	6,2	1,9	7	25	50	2	14,5	12,302
243	6,3	1,8	7,4	25	50	2	14,5	13,401
244	6,3	1,8	7,4	25	50	2	14,5	14,172
245	6,3	1,7	7,7	25	50	2	14,5	14,891
246	6,3	1,7	7,8	25	49	2	14,5	13,268
247	6	1,9	6,9	25	50	2	14,5	11,696
248	6,1	1,8	7,2	25	50	2	14,5	13,693
249	6,1	1,8	7,3	24	49	2	14,5	14,819
250	5,9	1,8	7	24	49	2	14,5	14,819
251	6,1	1,7	7,6	24	49	2	14,5	14,346
252	5,9	1,8	7,1	24	49	2	14,5	13,111
253	5,7	1,9	6,5	24	49	2	14,5	12,368
254	5,6	1,9	6,4	24	49	2	14	11,725
255	5,6	1,9	6,5	24	50	2	14	12,277
256	5,6	1,9	6,5	24	52	2	14	12,925
257	5,4	2	6	24	53	2	14	10,777
258	5,6	1,8	6,8	24	54	2	14	13,716
259	5,2	2	5,5	24	56	2	14	12,899
260	5,2	2	5,7	24	58	2	13,5	13,013
261	4,8	2,2	4,6	23	60	2	13,5	12,94
262	4,6	2,2	4,2	23	62	2	13,5	13,037
263	4,9	2,1	5	23	63	2	13,5	13,559
264	4,6	2,2	4,3	22	63	2	13,5	12,695
265	4,9	2	5,3	22	62	2	13,5	11,983
266	4,8	2	4,8	22	62	2	13,5	15,066
267	4,9	1,9	5,2	22	63	2	13,5	12,238
268	4,7	2	4,7	22	64	2	13,5	15,127
269	4,7	1,9	4,8	22	66	2	13,5	14,631
270	4,4	2,1	4	21	66	2	13,5	10,852
271	4,3	2,1	3,6	22	65	2	13,5	12,171
272	4,2	2,1	3,6	22	64	2	13,5	14,336
273	4,2	2,1	3,7	22	62	2	12,5	11,809
274	4,2	2	3,9	22	62	2	12,5	12,829
275	4,2	2	3,9	21	63	2	12,5	10,661
276	4,4	1,9	4,5	21	64	2	12,5	11,609
277	4,1	2	3,8	21	63	2	12,5	11,439
278	4,2	1,9	4,3	20	63	2	12,5	11,167
279	3,8	2,1	3,2	20	63	2	12,5	12,7
280	4,2	1,8	4,3	20	63	2	12,5	12,336
281	4,1	1,9	4,2	20	63	2	12,5	11,915
282	4,2	1,8	4,6	19	64	2	12,5	12,753
283	3,9	1,9	3,8	19	66	2	12,5	10,956
284	3,8	1,9	3,6	19	68	2	12,5	11,225
285	3,7	1,9	3,4	18	69	2	12,5	12,192
286	3,8	1,8	3,8	18	69	2	12,5	10,868
287	3,8	1,8	3,8	18	70	2	12,5	10,762
288	3,7	1,8	3,7	18	72	2	12,5	9,965
289	3,3	1,9	2,6	18	73	2	12,5	12,7
290	3,6	1,8	3,6	18	74	2	12,5	12,424
291	3,5	1,8	3,2	18	74	2	12,5	11,517
292	3,4	1,8	3	18	73	2	12,5	11,992
293	3	1,9	2,2	17	74	2	12,5	9,584
294	3,3	1,8	2,9	17	73	2	12,5	13,082
295	3,5	1,7	3,7	17	73	2	12,5	8,241
296	3,5	1,6	3,9	17	73	2	12,5	12,188
297	3,4	1,7	3,5	18	72	2	11,5	11,064
298	3,4	1,6	3,8	17	72	2	11,5	9,92
299	3,3	1,6	3,6	17	71	2	11,5	11,008
300	3,5	1,5	4,3	17	70	2	11,5	12,407
301	3,5	1,5	4,4	17	70	2	11,5	10,561
302	3,5	1,4	4,7	17	70	2	11,5	11,25
303	3,4	1,5	4,4	17	70	2	10,5	9,262
304	3,2	1,5	3,9	17	70	2	10,5	9,739
305	3,3	1,5	4,2	16	70	2	10,5	8,848
306	2,9	1,6	2,7	16	70	2	10,5	11,33
307	3	1,5	3,5	16	71	2	10,5	10,285
308	2,8	1,6	2,7	15	71	2	10,5	9,725
309	2,8	1,6	2,9	15	70	2	10,5	11,051
310	3	1,5	3,7	14	70	2	10,5	8,643
311	3	1,4	3,7	14	71	2	10,5	10,579
312	2,9	1,4	3,6	14	72	2	10,5	9,983
313	2,7	1,5	2,9	14	72	2	10	10,124
314	2,9	1,4	3,7	13	72	2	10	9,671
315	2,6	1,5	2,7	13	72	2	10	8,185
316	2,7	1,4	3	12	72	2	10	8,06
317	2,5	1,5	2,6	12	73	2	10	8,483
318	2,8	1,3	3,7	12	73	2	10	8,113
319	2,8	1,3	3,5	12	74	2	10	10,268
320	2,5	1,4	2,6	12	75	2	10	9,067
321	2,6	1,4	2,8	12	77	2	10	10,113
322	2,7	1,3	3,3	12	77	2	10	8,677
323	2,4	1,4	2,4	12	77	2	10	9,095
324	2,4	1,4	2,5	12	78	2	10	9,35
325	2,3	1,4	2,3	12	79	2	10	7,974
326	2,1	1,4	1,7	12	79	2	10	10,116
327	2,4	1,3	2,8	12	79	2	10	11,012
328	2,3	1,3	2,2	12	79	2	10	8,495
329	2,1	1,4	1,8	12	80	2	10	8,484
330	2,2	1,3	2,2	12	80	2	10	8,859
331	2,2	1,3	2,3	12	80	2	10	9,594
332	2,5	1,2	3,2	12	80	2	9,5	9,591
333	2,3	1,2	2,8	11	80	2	9,5	10,263
334	2,4	1,2	3,2	11	80	2	9,5	8,584
335	2,2	1,3	2,5	11	79	2	9,5	10,815
336	2,3	1,2	2,7	11	78	2	9,5	9,987
337	2,3	1,2	2,7	11	78	2	9,5	10,027
338	2	1,3	1,9	11	79	2	9,5	9,189
339	2,2	1,2	2,5	11	79	2	9,5	8,857
340	2,2	1,2	2,5	11	78	2	9,5	9,9
341	2,2	1,2	2,5	10	78	2	9,5	7,131
342	2,1	1,2	2,2	11	78	2	9,5	8,624
343	1,9	1,3	1,8	11	78	2	9,5	7,002
344	2,2	1,2	2,9	11	78	2	9,5	8,369
345	2,1	1,2	2,5	11	77	2	9,5	9,945
346	2	1,2	2,1	11	77	2	9,5	8,523
347	2,1	1,2	2,6	11	78	2	9,5	10,553
348	2,1	1,2	2,5	11	78	2	9,5	8,567
349	2	1,2	2,3	11	78	2	9,5	9,05
350	2	1,2	2,2	11	78	2	9,5	10,585
351	2	1,2	2,1	11	78	2	9,5	9,763
352	2	1,2	2	11	78	2	9,5	8,793
353	1,9	1,2	1,8	11	79	2	9,5	9,225
354	2	1,2	2,1	10	79	2	9,5	8,943
355	1,9	1,2	1,8	10	80	2	9,5	9,864
356	1,9	1,2	1,7	11	80	2	9,5	9,286
357	1,8	1,2	1,4	10	81	2	9,5	10,356
358	2	1,2	2	10	81	2	9,5	9,158
359	1,9	1,2	1,9	10	81	2	9,5	8,198
360	2	1,2	2,3	10	81	2	9,5	9,743
361	1,9	1,2	1,8	10	82	2	9,5	8,963
362	1,9	1,2	1,7	10	82	2	9,5	10,514
363	1,7	1,2	1	11	83	2	9,5	9,779
364	1,6	1,2	1	11	83	2	9,5	8,284
365	1,8	1,3	1,3	11	83	2	9,5	11,088
