DJ	RG	RDF	RD	Tm	HR	Vv	NHL	Abateria
1	1,9	1,3	1,8	11	82	2	9,5	8,388
2	2,1	1,2	2,4	11	82	2	9,5	5,637
3	1,9	1,3	1,7	11	82	2	9,5	6,836
4	2,2	1,2	2,6	11	82	2	9,5	7,832
5	2	1,3	1,8	11	82	2	9,5	6,641
6	2,2	1,2	2,6	10	81	2	9,5	7,686
7	2,3	1,2	2,9	10	81	2	9,5	7,289
8	2,3	1,2	2,8	10	80	2	9,5	5,44
9	2	1,3	1,8	10	80	2	9,5	7,596
10	2,3	1,3	2,7	9	79	2	9,5	7,494
11	2,1	1,3	2,2	9	79	2	9,5	7,186
12	2,3	1,2	2,8	9	80	2	9,5	8,013
13	2,5	1,2	3,6	9	79	2	9,5	6,509
14	2,5	1,2	3,2	9	78	2	9,5	8,445
15	2,6	1,2	3,8	9	77	2	9,5	7,885
16	2,4	1,3	2,9	9	78	2	9,5	7,389
17	2,5	1,3	3	9	78	2	10	7,329
18	2,3	1,3	2,4	9	79	2	10	5,997
19	2,4	1,3	2,7	9	79	2	10	8,036
20	2,5	1,3	2,8	9	79	2	10	8,254
21	2,5	1,3	2,9	9	79	2	10	9,38
22	2,4	1,4	2,3	10	79	2	10	7,435
23	2,2	1,4	1,9	10	79	2	10	8,224
24	2,5	1,4	2,6	10	78	2	10	10,283
25	2,8	1,3	3,8	10	78	2	10	7,013
26	2,4	1,4	2,3	10	78	2	10	7,113
27	2,6	1,4	2,6	10	78	2	10	8,405
28	2,8	1,4	3,8	11	76	2	10	7,012
29	2,8	1,4	3,5	10	76	2	10	7,582
30	3	1,3	4	10	75	2	10	8,805
31	2,9	1,4	3,8	11	75	2	10	7,117
32	2,9	1,4	3,4	11	75	2	10	7,649
33	3,2	1,3	4,8	10	74	2	10	8,132
34	2,9	1,5	3,4	10	75	2	10	6,824
35	3	1,5	3,6	10	76	2	10	7,381
36	2,9	1,5	3,1	10	77	2	10	8,691
37	3	1,5	3,4	11	77	2	10	7,092
38	2,6	1,6	2,3	11	78	2	10	5,845
39	3,1	1,5	3,6	11	78	2	10	7,43
40	3,2	1,5	3,9	11	78	2	10	8,776
41	3,3	1,5	4,2	11	76	2	10	8,456
42	3,6	1,3	5,5	11	74	2	10	7,39
43	3,3	1,6	3,9	11	74	2	10	8,576
44	3,5	1,5	4,6	11	73	2	10	10,344
45	3,2	1,7	3,2	11	72	2	10	7,334
46	3,4	1,6	3,8	11	71	2	10	8,501
47	3,8	1,4	5,3	11	70	2	10,5	7,788
48	3,7	1,5	4,8	11	69	2	10,5	7,381
49	3,6	1,6	4,3	11	68	2	10,5	9,188
50	3,5	1,7	3,8	11	67	2	10,5	8,386
51	3,8	1,6	4,7	11	68	2	10,5	7,217
52	3,8	1,6	4,6	11	69	2	10,5	8,711
53	3,8	1,7	4,4	11	70	2	10,5	8,118
54	3,8	1,7	4,2	11	71	2	10,5	9,213
55	3,7	1,8	4	11	72	2	10,5	7,943
56	3,8	1,8	4	11	73	2	10,5	8,347
57	3,6	1,9	3,3	12	75	2	10,5	7,677
58	3,6	1,9	3,2	12	76	2	10,5	7,589
59	3,5	2	2,9	12	77	2	10,5	6,833
60	3,7	1,9	3,4	12	77	2	10,5	9,166
61	3,9	1,8	4	12	78	2	11	9,076
62	3,6	2,1	2,8	12	77	2	11	7,092
63	4	1,9	3,9	13	77	2	11	9,67
64	3,8	2	3,3	13	77	2	11	6,529
65	4,1	1,9	3,9	14	76	2	11	7,927
66	4	2	3,6	14	75	2	11	11,039
67	4,3	1,9	4,4	14	74	2	11	6,935
68	4,2	2	4,1	14	73	2	11	6,354
69	4,4	1,9	4,5	14	72	2	11	10,686
70	4,2	2,1	3,8	14	72	2	11	10,019
71	4,3	2,1	3,9	14	73	2	11	8,344
72	4,5	2	4,4	14	73	2	11	10,188
73	4,4	2	4,1	14	74	2	11	9,867
74	4,6	2	4,4	14	73	2	11	9,067
75	4,6	2,1	4,3	14	72	2	11	8,929
76	4,7	2	4,5	14	71	2	11	9,241
77	4,9	1,9	5,2	15	71	2	11	10,357
78	4,7	2,1	4,4	15	71	2	11	9,601
79	5,1	1,9	5,5	15	70	2	11	9,051
80	5,1	1,9	6	15	70	2	11	11,139
81	5	2,1	5,3	15	70	2	11	10,371
82	5,3	1,9	6,2	15	69	2	11	10,537
83	5	2,2	4,9	15	69	2	11	8,748
84	5,1	2,1	5,2	16	68	2	11	9,83
85	5	2,2	5	16	67	2	11	9,37
86	4,8	2,4	4	16	67	2	11	7,138
87	4,9	2,3	4,4	16	68	2	12,5	11,06
88	4,8	2,4	4,1	15	68	2	12,5	10,695
89	5	2,3	4,5	15	67	2	12,5	10,398
90	5,2	2,3	5	15	68	2	12,5	10,01
91	5,1	2,4	4,5	15	67	2	12,5	10,105
92	5,4	2,2	5,4	15	66	2	12,5	9,863
93	5,6	2,1	5,8	15	65	2	12,5	8,411
